name,display_name,is_active
Asia/Ho_Chi_Minh,Asia/Ho_Chi_Minh (GMT+7),TRUE
Asia/Hong_Kong,Asia/Hong_Kong (GMT+8),TRUE
Asia/Hovd,Asia/Hovd (GMT+7),TRUE
Asia/Irkutsk,Asia/Irkutsk (GMT+8),TRUE
Asia/Jakarta,Asia/Jakarta (GMT+7),TRUE
Asia/Jayapura,Asia/Jayapura (GMT+9),TRUE
Asia/Jerusalem,Asia/Jerusalem (GMT+2),TRUE
Asia/Kabul,Asia/Kabul (GMT+4:30),TRUE
Asia/Kamchatka,Asia/Kamchatka (GMT+12),TRUE
Asia/Karachi,Asia/Karachi (GMT+5),TRUE
Asia/Kathmandu,Asia/Kathmandu (GMT+5:45),TRUE
Asia/Khandyga,Asia/Khandyga (GMT+9),TRUE
Asia/Kolkata,Asia/Kolkata (GMT+5:30),TRUE
Asia/Krasnoyarsk,Asia/Krasnoyarsk (GMT+7),TRUE
Asia/Kuala_Lumpur,Asia/Kuala_Lumpur (GMT+8),TRUE
Asia/Kuching,Asia/Kuching (GMT+8),TRUE
Asia/Macau,Asia/Macau (GMT+8),TRUE
Asia/Magadan,Asia/Magadan (GMT+11),TRUE
Asia/Makassar,Asia/Makassar (GMT+8),TRUE
Asia/Manila,Asia/Manila (GMT+8),TRUE
Asia/Nicosia,Asia/Nicosia (GMT+2),TRUE
Asia/Novokuznetsk,Asia/Novokuznetsk (GMT+7),TRUE
Asia/Novosibirsk,Asia/Novosibirsk (GMT+7),TRUE
Asia/Omsk,Asia/Omsk (GMT+6),TRUE
Asia/Oral,Asia/Oral (GMT+5),TRUE
Asia/Pontianak,Asia/Pontianak (GMT+7),TRUE
Asia/Pyongyang,Asia/Pyongyang (GMT+9),TRUE
Asia/Qatar,Asia/Qatar (GMT+3),TRUE
Asia/Qostanay,Asia/Qostanay (GMT+6),TRUE
Asia/Qyzylorda,Asia/Qyzylorda (GMT+5),TRUE
Asia/Riyadh,Asia/Riyadh (GMT+3),TRUE
Asia/Sakhalin,Asia/Sakhalin (GMT+11),TRUE
Asia/Samarkand,Asia/Samarkand (GMT+5),TRUE
Asia/Seoul,Asia/Seoul (GMT+9),TRUE
Asia/Shanghai,Asia/Shanghai (GMT+8),TRUE
Asia/Singapore,Asia/Singapore (GMT+8),TRUE
Asia/Srednekolymsk,Asia/Srednekolymsk (GMT+11),TRUE
Asia/Taipei,Asia/Taipei (GMT+8),TRUE
Asia/Tashkent,Asia/Tashkent (GMT+5),TRUE
Asia/Tbilisi,Asia/Tbilisi (GMT+4),TRUE
Asia/Tehran,Asia/Tehran (GMT+3:30),TRUE
Asia/Thimphu,Asia/Thimphu (GMT+6),TRUE
Asia/Tokyo,Asia/Tokyo (GMT+9),TRUE
Asia/Tomsk,Asia/Tomsk (GMT+7),TRUE
Asia/Ulaanbaatar,Asia/Ulaanbaatar (GMT+8),TRUE
Asia/Urumqi,Asia/Urumqi (GMT+6),TRUE
Asia/Ust-Nera,Asia/Ust-Nera (GMT+10),TRUE
Asia/Vladivostok,Asia/Vladivostok (GMT+10),TRUE
Asia/Yakutsk,Asia/Yakutsk (GMT+9),TRUE
Asia/Yangon,Asia/Yangon (GMT+6:30),TRUE
Asia/Yekaterinburg,Asia/Yekaterinburg (GMT+5),TRUE
Asia/Yerevan,Asia/Yerevan (GMT+4),TRUE
Atlantic/Azores,Atlantic/Azores (GMT-1),TRUE
Atlantic/Bermuda,Atlantic/Bermuda (GMT-4),TRUE
Atlantic/Canary,Atlantic/Canary (GMT),TRUE
Atlantic/Cape_Verde,Atlantic/Cape_Verde (GMT-1),TRUE
Atlantic/Faroe,Atlantic/Faroe (GMT),TRUE
Atlantic/Madeira,Atlantic/Madeira (GMT),TRUE
Atlantic/Reykjavik,Atlantic/Reykjavik (GMT),TRUE
Atlantic/South_Georgia,Atlantic/South_Georgia (GMT-2),TRUE
Atlantic/Stanley,Atlantic/Stanley (GMT-3),TRUE
Australia/Adelaide,Australia/Adelaide (GMT+9:30),TRUE
Australia/Brisbane,Australia/Brisbane (GMT+10),TRUE
Australia/Broken_Hill,Australia/Broken_Hill (GMT+9:30),TRUE
Australia/Darwin,Australia/Darwin (GMT+9:30),TRUE
Australia/Eucla,Australia/Eucla (GMT+8:45),TRUE
Australia/Hobart,Australia/Hobart (GMT+10),TRUE
Australia/Lindeman,Australia/Lindeman (GMT+10),TRUE
Australia/Lord_Howe,Australia/Lord_Howe (GMT+10:30),TRUE
Australia/Melbourne,Australia/Melbourne (GMT+10),TRUE
Australia/Perth,Australia/Perth (GMT+8),TRUE
Australia/Sydney,Australia/Sydney (GMT+10),TRUE
Europe/Amsterdam,Europe/Amsterdam (GMT+1),TRUE
Europe/Andorra,Europe/Andorra (GMT+1),TRUE
Europe/Astrakhan,Europe/Astrakhan (GMT+4),TRUE
Europe/Athens,Europe/Athens (GMT+2),TRUE
Europe/Belgrade,Europe/Belgrade (GMT+1),TRUE
Europe/Berlin,Europe/Berlin (GMT+1),TRUE
Europe/Brussels,Europe/Brussels (GMT+1),TRUE
Europe/Bucharest,Europe/Bucharest (GMT+2),TRUE
Europe/Budapest,Europe/Budapest (GMT+1),TRUE
Europe/Chisinau,Europe/Chisinau (GMT+2),TRUE
Europe/Copenhagen,Europe/Copenhagen (GMT+1),TRUE
Europe/Dublin,Europe/Dublin (GMT),TRUE
Europe/Gibraltar,Europe/Gibraltar (GMT+1),TRUE
Europe/Helsinki,Europe/Helsinki (GMT+2),TRUE
Europe/Istanbul,Europe/Istanbul (GMT+3),TRUE
Europe/Kaliningrad,Europe/Kaliningrad (GMT+2),TRUE
Europe/Kiev,Europe/Kiev (GMT+2),TRUE
Europe/Kirov,Europe/Kirov (GMT+3),TRUE
Europe/Lisbon,Europe/Lisbon (GMT),TRUE
Europe/London,Europe/London (GMT),TRUE
Europe/Luxembourg,Europe/Luxembourg (GMT+1),TRUE
Europe/Madrid,Europe/Madrid (GMT+1),TRUE
Europe/Malta,Europe/Malta (GMT+1),TRUE
Europe/Minsk,Europe/Minsk (GMT+3),TRUE
Europe/Monaco,Europe/Monaco (GMT+1),TRUE
Europe/Moscow,Europe/Moscow (GMT+3),TRUE
Europe/Oslo,Europe/Oslo (GMT+1),TRUE
Europe/Paris,Europe/Paris (GMT+1),TRUE
Europe/Prague,Europe/Prague (GMT+1),TRUE
Europe/Riga,Europe/Riga (GMT+2),TRUE
Europe/Rome,Europe/Rome (GMT+1),TRUE
Europe/Samara,Europe/Samara (GMT+4),TRUE
Europe/Saratov,Europe/Saratov (GMT+4),TRUE
Europe/Simferopol,Europe/Simferopol (GMT+3),TRUE
Europe/Sofia,Europe/Sofia (GMT+2),TRUE
Europe/Stockholm,Europe/Stockholm (GMT+1),TRUE
Europe/Tallinn,Europe/Tallinn (GMT+2),TRUE
Europe/Tirane,Europe/Tirane (GMT+1),TRUE
Europe/Ulyanovsk,Europe/Ulyanovsk (GMT+4),TRUE
Europe/Uzhgorod,Europe/Uzhgorod (GMT+2),TRUE
Europe/Vienna,Europe/Vienna (GMT+1),TRUE
Europe/Vilnius,Europe/Vilnius (GMT+2),TRUE
Europe/Volgograd,Europe/Volgograd (GMT+3),TRUE
Europe/Warsaw,Europe/Warsaw (GMT+1),TRUE
Europe/Zaporozhye,Europe/Zaporozhye (GMT+2),TRUE
Europe/Zurich,Europe/Zurich (GMT+1),TRUE
Indian/Chagos,Indian/Chagos (GMT+6),TRUE
Indian/Christmas,Indian/Christmas (GMT+7),TRUE
Indian/Cocos,Indian/Cocos (GMT+6:30),TRUE
Indian/Kerguelen,Indian/Kerguelen (GMT+5),TRUE
Indian/Mahe,Indian/Mahe (GMT+4),TRUE
Indian/Maldives,Indian/Maldives (GMT+5),TRUE
Indian/Mauritius,Indian/Mauritius (GMT+4),TRUE
Indian/Reunion,Indian/Reunion (GMT+4),TRUE
Pacific/Apia,Pacific/Apia (GMT+13),TRUE
Pacific/Auckland,Pacific/Auckland (GMT+12),TRUE
Pacific/Bougainville,Pacific/Bougainville (GMT+11),TRUE
Pacific/Chatham,Pacific/Chatham (GMT+12:45),TRUE
Pacific/Chuuk,Pacific/Chuuk (GMT+10),TRUE
Pacific/Easter,Pacific/Easter (GMT-6),TRUE
Pacific/Efate,Pacific/Efate (GMT+11),TRUE
Pacific/Enderbury,Pacific/Enderbury (GMT+13),TRUE
Pacific/Fakaofo,Pacific/Fakaofo (GMT+13),TRUE
Pacific/Fiji,Pacific/Fiji (GMT+12),TRUE
Pacific/Funafuti,Pacific/Funafuti (GMT+12),TRUE
Pacific/Galapagos,Pacific/Galapagos (GMT-6),TRUE
Pacific/Gambier,Pacific/Gambier (GMT-9),TRUE
Pacific/Guadalcanal,Pacific/Guadalcanal (GMT+11),TRUE
Pacific/Guam,Pacific/Guam (GMT+10),TRUE
Pacific/Honolulu,Pacific/Honolulu (GMT-10),TRUE
Pacific/Kiritimati,Pacific/Kiritimati (GMT+14),TRUE
Pacific/Kosrae,Pacific/Kosrae (GMT+11),TRUE
Pacific/Kwajalein,Pacific/Kwajalein (GMT+12),TRUE
Pacific/Majuro,Pacific/Majuro (GMT+12),TRUE
Pacific/Marquesas,Pacific/Marquesas (GMT-9:30),TRUE
Pacific/Nauru,Pacific/Nauru (GMT+12),TRUE
Pacific/Niue,Pacific/Niue (GMT-11),TRUE
Pacific/Norfolk,Pacific/Norfolk (GMT+11),TRUE
Pacific/Noumea,Pacific/Noumea (GMT+11),TRUE
Pacific/Pago_Pago,Pacific/Pago_Pago (GMT-11),TRUE
Pacific/Palau,Pacific/Palau (GMT+9),TRUE
Pacific/Pitcairn,Pacific/Pitcairn (GMT-8),TRUE
Pacific/Pohnpei,Pacific/Pohnpei (GMT+11),TRUE
Pacific/Port_Moresby,Pacific/Port_Moresby (GMT+10),TRUE
Pacific/Rarotonga,Pacific/Rarotonga (GMT-10),TRUE
Pacific/Tahiti,Pacific/Tahiti (GMT-10),TRUE
Pacific/Tarawa,Pacific/Tarawa (GMT+12),TRUE
Pacific/Tongatapu,Pacific/Tongatapu (GMT+13),TRUE
Pacific/Wake,Pacific/Wake (GMT+12),TRUE
Pacific/Wallis,Pacific/Wallis (GMT+12),TRUE
UTC,UTC (GMT),TRUE
