name,display_name,is_active
America/North_Dakota/New_Salem,America/North_Dakota/New_Salem (GMT-6),true
America/Ojinaga,America/Ojinaga (GMT-7),true
America/Panama,America/Panama (GMT-5),true
America/Pangnirtung,America/Pangnirtung (GMT-5),true
America/Paramaribo,America/Paramaribo (GMT-3),true
America/Phoenix,America/Phoenix (GMT-7),true
America/Port-au-Prince,America/Port-au-Prince (GMT-5),true
America/Port_of_Spain,America/Port_of_Spain (GMT-4),true
America/Porto_Velho,America/Porto_Velho (GMT-4),true
America/Puerto_Rico,America/Puerto_Rico (GMT-4),true
America/Punta_Arenas,America/Punta_Arenas (GMT-3),true
America/Rainy_River,America/Rainy_River (GMT-6),true
America/Rankin_Inlet,America/Rankin_Inlet (GMT-6),true
America/Recife,America/Recife (GMT-3),true
America/Regina,America/Regina (GMT-6),true
America/Resolute,America/Resolute (GMT-6),true
America/Rio_Branco,America/Rio_Branco (GMT-5),true
America/Santarem,America/Santarem (GMT-3),true
America/Santiago,America/Santiago (GMT-4),true
America/Santo_Domingo,America/Santo_Domingo (GMT-4),true
America/Sao_Paulo,America/Sao_Paulo (GMT-3),true
America/Scoresbysund,America/Scoresbysund (GMT-1),true
America/Sitka,America/Sitka (GMT-9),true
America/St_Barthelemy,America/St_Barthelemy (GMT-4),true
America/St_Johns,America/St_Johns (GMT-3:30),true
America/St_Kitts,America/St_Kitts (GMT),true
America/St_Lucia,America/St_Lucia (GMT),true
America/St_Thomas,America/St_Thomas (GMT-4),true
America/St_Vincent,America/St_Vincent (GMT),true
America/Swift_Current,America/Swift_Current (GMT-6),true
America/Tegucigalpa,America/Tegucigalpa (GMT-6),true
America/Thule,America/Thule (GMT-4),true
America/Thunder_Bay,America/Thunder_Bay (GMT-5),true
America/Tijuana,America/Tijuana (GMT-8),true
America/Toronto,America/Toronto (GMT-5),true
America/Tortola,America/Tortola (GMT-4),true
America/Vancouver,America/Vancouver (GMT-8),true
America/Whitehorse,America/Whitehorse (GMT-8),true
America/Winnipeg,America/Winnipeg (GMT-6),true
America/Yakutat,America/Yakutat (GMT-9),true
America/Yellowknife,America/Yellowknife (GMT-7),true
Antarctica/Casey,Antarctica/Casey (GMT+11),true
Antarctica/Davis,Antarctica/Davis (GMT+7),true
Antarctica/DumontDUrville,Antarctica/DumontDUrville (GMT+10),true
Antarctica/Macquarie,Antarctica/Macquarie (GMT+11),true
Antarctica/Mawson,Antarctica/Mawson (GMT+5),true
Antarctica/McMurdo,Antarctica/McMurdo (GMT+13),true
Antarctica/Palmer,Antarctica/Palmer (GMT-3),true
Antarctica/Rothera,Antarctica/Rothera (GMT-3),true
Antarctica/Syowa,Antarctica/Syowa (GMT+3),true
Antarctica/Troll,Antarctica/Troll (GMT),true
Antarctica/Vostok,Antarctica/Vostok (GMT+6),true
Arctic/Longyearbyen,Arctic/Longyearbyen (GMT+1),true
Asia/Aden,Asia/Aden (GMT),true
Asia/Almaty,Asia/Almaty (GMT+6),true
Asia/Amman,Asia/Amman (GMT+2),true
Asia/Anadyr,Asia/Anadyr (GMT+12),true
Asia/Aqtau,Asia/Aqtau (GMT+5),true
Asia/Aqtobe,Asia/Aqtobe (GMT+5),true
Asia/Ashgabat,Asia/Ashgabat (GMT+5),true
Asia/Atyrau,Asia/Atyrau (GMT+5),true
Asia/Baghdad,Asia/Baghdad (GMT+3),true
Asia/Bahrain,Asia/Bahrain (GMT),true
Asia/Baku,Asia/Baku (GMT+4),true
Asia/Bangkok,Asia/Bangkok (GMT+7),true
